RiverMeter,RiverKM,Elevation,Easting,Northing,Year,,,,,,,,,,,,
13092,13.092,5.776,642683.277,4242977.677,2013,,,,,,,,,,,,
13090,13.09,5.747,642682.783,4242975.353,2013,,,,,,,,,,,,
13090,13.09,5.745,642682.784,4242975.359,2013,,,,,,,,,,,,
13087,13.087,5.703,642681.851,4242972.274,2013,,,,,,,,,,,,
13084,13.084,5.653,642681.218,4242969.919,2013,,,,,,,,,,,,
13082,13.082,5.75,642680.731,4242966.820,2013,,,,,,,,,,,,
13080,13.08,5.779,642680.055,4242963.899,2013,,,,,,,,,,,,
13077,13.077,5.745,642679.268,4242960.799,2013,,,,,,,,,,,,
13074,13.074,5.738,642679.164,4242957.973,2013,,,,,,,,,,,,
13072,13.072,5.783,642678.439,4242955.593,2013,,,,,,,,,,,,
13070,13.07,5.691,642677.657,4242953.338,2013,,,,,,,,,,,,
13067,13.067,5.609,642676.883,4242950.919,2013,,,,,,,,,,,,
13065,13.065,5.583,642675.959,4242948.575,2013,,,,,,,,,,,,
13063,13.063,5.451,642675.450,4242946.048,2013,,,,,,,,,,,,
13061,13.061,5.503,642675.683,4242943.430,2013,,,,,,,,,,,,
13058,13.058,5.823,642673.105,4242941.311,2013,,,,,,,,,,,,
13055,13.055,5.827,642670.825,4242939.473,2013,,,,,,,,,,,,
13053,13.053,5.587,642669.092,4242937.382,2013,,,,,,,,,,,,
13052,13.052,5.617,642667.941,4242935.274,2013,,,,,,,,,,,,
13051,13.051,5.712,642666.541,4242933.290,2013,,,,,,,,,,,,
13048,13.048,5.703,642665.269,4242931.231,2013,,,,,,,,,,,,
13046,13.046,5.776,642664.155,4242929.301,2013,,,,,,,,,,,,
13044,13.044,5.674,642662.692,4242927.530,2013,,,,,,,,,,,,
13042,13.042,5.679,642660.489,4242927.095,2013,,,,,,,,,,,,
13035,13.035,5.608,642657.891,4242925.614,2013,,,,,,,,,,,,
13032,13.032,5.608,642656.066,4242924.343,2013,,,,,,,,,,,,
13030,13.03,5.561,642654.236,4242922.871,2013,,,,,,,,,,,,
13028,13.028,5.568,642652.204,4242921.526,2013,,,,,,,,,,,,
13025,13.025,5.528,642650.065,4242919.984,2013,,,,,,,,,,,,
13023,13.023,5.542,642648.228,4242918.390,2013,,,,,,,,,,,,
13020,13.02,5.6,642645.975,4242916.260,2013,,,,,,,,,,,,
13017,13.017,5.576,642644.591,4242914.098,2013,,,,,,,,,,,,
13014,13.014,5.541,642643.149,4242911.261,2013,,,,,,,,,,,,
13011,13.011,5.557,642641.338,4242908.946,2013,,,,,,,,,,,,
13009,13.009,5.552,642639.483,4242907.263,2013,,,,,,,,,,,,
13006,13.006,5.577,642638.017,4242905.636,2013,,,,,,,,,,,,
13004,13.004,5.633,642636.255,4242903.989,2013,,,,,,,,,,,,
13002,13.002,5.639,642634.679,4242902.546,2013,,,,,,,,,,,,
12999,12.999,5.662,642632.941,4242900.847,2013,,,,,,,,,,,,
12997,12.997,5.752,642630.889,4242899.207,2013,,,,,,,,,,,,
12994,12.994,5.779,642628.794,4242897.491,2013,,,,,,,,,,,,
12992,12.992,5.792,642626.926,4242895.424,2013,,,,,,,,,,,,
12989,12.989,5.805,642625.024,4242893.189,2013,,,,,,,,,,,,
12987,12.987,5.828,642623.215,4242891.273,2013,,,,,,,,,,,,
12984,12.984,5.818,642620.997,4242889.396,2013,,,,,,,,,,,,
12981,12.981,5.735,642619.242,4242887.451,2013,,,,,,,,,,,,
12979,12.979,5.696,642617.590,4242885.636,2013,,,,,,,,,,,,
12976,12.976,5.652,642616.062,4242883.864,2013,,,,,,,,,,,,
12974,12.974,5.624,642614.389,4242881.966,2013,,,,,,,,,,,,
12972,12.972,5.675,642613.038,4242880.491,2013,,,,,,,,,,,,
12970,12.97,5.701,642611.795,4242878.933,2013,,,,,,,,,,,,
12967,12.967,5.689,642609.894,4242876.879,2013,,,,,,,,,,,,
12965,12.965,5.655,642608.148,4242875.164,2013,,,,,,,,,,,,
12963,12.963,5.658,642606.726,4242873.398,2013,,,,,,,,,,,,
12960,12.96,5.686,642605.168,4242871.569,2013,,,,,,,,,,,,
12958,12.958,5.715,642603.654,4242869.769,2013,,,,,,,,,,,,
12955,12.955,5.716,642602.052,4242867.906,2013,,,,,,,,,,,,
12953,12.953,5.771,642600.444,4242865.942,2013,,,,,,,,,,,,
12950,12.95,5.768,642598.924,4242864.012,2013,,,,,,,,,,,,
12948,12.948,5.793,642597.408,4242862.114,2013,,,,,,,,,,,,
12945,12.945,5.79,642595.923,4242860.322,2013,,,,,,,,,,,,
12943,12.943,5.767,642594.363,4242858.318,2013,,,,,,,,,,,,
12941,12.941,5.829,642593.145,4242856.548,2013,,,,,,,,,,,,
12938,12.938,5.782,642591.506,4242854.668,2013,,,,,,,,,,,,
12936,12.936,5.814,642590.157,4242853.056,2013,,,,,,,,,,,,
12934,12.934,5.746,642588.785,4242851.268,2013,,,,,,,,,,,,
12932,12.932,5.751,642587.058,4242849.626,2013,,,,,,,,,,,,
12929,12.929,5.749,642585.506,4242848.037,2013,,,,,,,,,,,,
