Location,Type,Easting,Northing,Elevation,Lat,Long,2012,2013,2014,2015,2016
Cos_AbvTriNorth,River,640797.292,4237777.562,1.726,38.27702461,-121.3903128,,,,GlobalWater,GlobalWater
LWC,River,641847,4241280,4.152,38.30841224,-121.3776138,GlobalWater,32013219,2013219,32013219,
WestBasin,Breach,641415,4240553,5.954,38.30193104,-121.3826985,,21044051,,21044051,21052109
Tri_north,Breach,640622.467,4237666.168,3.767,38.27604847,-121.392333,48767,21052169,21044051,21049517,32052593
OD_Excavation,Breach,641763.495,4241361.24,6.597,38.30915732,-121.3785522,,,,32037867,21052169
RingBreach,Breach,641616.758,4241337.319,6.634,38.308965,-121.3802347,,,,32041599,32041594
Ring_Field,Floodplain,641316.036,4241170.774,6.149,38.30751206,-121.3837063,,,,21043945,32052616
ODF_1,Floodplain,641173.306,4240912.631,6.147,38.30520898,-121.3853898,,,,32041593,21049517
ODF_2,Floodplain,641202.776,4240363.892,5.643,38.30026083,-121.3851625,,,,32041594,21052129
ODF_3,Floodplain,641390.355,4239891.104,5.333,38.29597201,-121.3831126,,,,32041586,21043945
ODF_4,Floodplain,641528.632,4239435.416,4.938,38.29184499,-121.3816231,,,,21052109,21052110
SwaleBreach_1,Breach,641670.619,4239603.38,3.451,38.29333574,-121.3799664,,,,32037874,
SwaleBreach_2,Breach,641579.627,4239703.908,3.642,38.29425574,-121.3809864,,,,32037874,32052592
TwinCities_West,River,641620,4239319,3.035,38.2907818,-121.380602,,,,32041675,32052602
Cos_Overflow,River,641153.942,4237731.37,2.645,38.27655246,-121.3862461,,,,21052129,32041586
Tri_west,Breach,640151,4236947,3.298,38.26964324,-121.3978635,,,,21052110,21044051
LOGGER_A,River,642437.34,4242261.664,5.87,38.31716225,-121.3706663,,,,,32037874
LOGGER_B,River,642234.079,4242005.682,4.806,38.31488844,-121.3730421,,,,,32041593
LOGGER_C,River,642144.085,4241862.274,5.053,38.31361078,-121.3741,,,,,32013219
LOGGER_D,River,641996.601,4241635.106,5.361,38.31158764,-121.375832,,,,,32041599
NW_SPLAY,Floodplain,641095.789,4240678.992,5.537,38.30311636,-121.3863226,,,11054628,,
SITE_201,Floodplain,641331.192,4240271.64,5.816,38.29940952,-121.3837128,,,21052110,,
SITE_104,Floodplain,641497.254,4239989.602,5.771,38.29684251,-121.3818709,,,21052109,,
SITE_208,Floodplain,641229.388,4240085.199,5.324,38.29774594,-121.3849139,,,21049517,,
SITE_108,Floodplain,641528.59,4239435.523,4.894,38.29184596,-121.3816236,,,21043945,,
SITE_115,Floodplain,641173.313,4240912.626,6.158,38.30520893,-121.3853897,,,21052129,,
