Lab_code,Soil_depth_cm,Uncalibrated_14C_years_BP,14C_age_SD_years,Median_probability_cal_yr_BP,14C_age_SD_years,Sedimentation_rate_cm_yr-1
Soil 22,0-30,150,40,152,30,0.197
Soil 23,30-60,1280,40,1226,30,0.028
Soil 24,60-80,1225,35,1155,20,-0.282
Soil 25,80-100,680,30,652,20,-0.040
Soil 26,100-105,830,30,737,5,0.059
Soil 27,105-110,765,30,694,5,-0.116
Soil 28,110-115,680,30,652,5,-0.119
Soil 29,115-120,875,40,787,5,0.037
Soil 30,120-125,1230,30,1164,5,0.013
Soil 31,125-130,1970,35,1922,5,0.007
Soil 32,130-135,2310,30,2337,5,0.012
Soil 33,135-140,2480,30,2584,5,0.020
Soil 34,140-145,2995,40,3177,5,0.008
Soil 35,145-150,3140,30,3367,5,0.026
Soil 36,150-160,3230,40,3451,10,0.119
Soil 37,160-170,3635,25,3945,10,0.020
Soil 38,170-180,3385,25,3628,10,-0.032
Soil 39,180-190,3440,30,3695,10,0.149
Soil 40,190-200,3105,25,3317,10,-0.026
Soil 41,200-230,4185,25,4729,30,0.021
Soil 42,230-260,4915,30,5635,30,0.033
Soil 43,260-270,5070,25,5816,10,0.055
Soil 44,270-280,5225,25,5966,10,0.067
Soil 46,280-300,5535,30,6333,20,0.054
Soil 47,300-310,5610,30,6375,10,0.238
Soil 48,310-320,6095,35,6964,10,0.017
Soil 50,320-340,6600,30,7494,20,0.038
Soil 51,340-350,6700,30,7574,10,0.125
Soil 52,350-360,6830,30,7660,10,0.116
Soil 53,360-380,7065,30,7895,20,0.085
Soil 54,380-400,7325,30,8114,20,0.091
Soil 55,400-450,7750,30,8530,50,0.120
Soil 56,450-500,8480,50,9495,50,0.052
Soil 57,500-550,8990,60,10160,50,0.075
Soil 58,550-600,9840,75,11260,50,0.045
Soil 59,600-650,11230,110,13090,50,0.027
Soil 60,650-700,11270,90,13140,50,1.000
