Depth,A1,A2,A3,A4,NH4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,C1,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
33,3.272,2.732,3.797,4.793,2.967,3.993,3.756,1.930,0.542,3.685,4.106,1.303,2.697,3.709,3.871,2.974,4.173,2.184,3.278,3.791,3.663,2.307,4.702,3.347,2.850,4.343,3.517,3.517,3.053,1.118,
66,1.003,0.976,1.128,1.156,1.171,1.347,1.225,0.920,0.591,1.012,1.287,1.441,1.023,1.009,1.023,1.560,1.605,0.565,1.304,1.357,1.186,1.421,1.464,1.416,0.994,1.299,1.526,1.322,1.220,1.684,
100,1.128,1.169,1.128,1.225,1.779,0.996,1.003,1.349,0.574,1.093,0.477,1.428,1.252,1.239,1.036,1.005,1.243,0.553,1.197,1.357,1.346,1.442,1.320,0.997,0.971,1.288,1.379,1.220,1.051,1.311,
133,0.602,0.519,0.713,0.588,0.645,0.591,0.506,0.713,3.183,0.963,0.364,0.739,0.969,0.928,0.996,0.474,0.383,0.145,0.674,0.524,0.535,0.546,0.577,0.397,0.281,0.564,0.519,0.315,0.349,0.587,
166,0.478,0.409,0.367,0.395,0.294,0.253,0.367,0.685,0.558,0.510,0.493,0.685,0.483,0.307,0.496,0.157,0.270,1.272,0.183,0.247,0.396,0.322,0.253,0.397,0.077,0.123,0.202,0.066,0.202,0.168,
200,0.395,0.381,0.326,0.381,0.334,0.226,0.270,0.493,0.558,0.526,0.331,0.348,0.402,0.253,0.588,0.202,0.162,0.097,0.194,0.311,0.268,0.311,0.145,0.181,0.055,0.157,0.066,0.089,0.191,0.168,
233,0.312,0.326,0.326,0.353,0.307,0.172,0.381,0.510,0.607,0.396,0.396,0.375,0.186,0.159,0.436,-0.047,0.129,0.661,0.140,0.151,0.204,0.332,0.073,0.037,0.032,0.145,0.055,0.066,0.191,0.077,
266,0.284,0.284,0.450,0.353,0.348,0.132,0.464,0.445,0.591,0.445,0.477,0.294,0.145,0.132,0.353,0.123,0.183,-0.035,0.151,0.194,0.194,0.343,0.241,0.157,-0.013,-0.002,0.010,0.157,0.168,0.066,
300,0.284,0.423,0.381,0.450,0.294,0.388,0.423,0.477,0.558,0.445,4.609,0.348,0.186,0.213,0.395,0.111,0.183,0.181,0.194,0.162,0.183,0.300,0.097,0.121,0.077,0.055,0.089,0.111,0.123,0.145,
333,,0.450,,0.367,,0.229,,,,0.445,,0.402,,0.267,,,,0.037,,,,,,0.097,,0.055,,,,,
366,,0.395,,0.298,,0.187,,,,0.412,,0.307,,0.172,,,,0.073,,,,,,0.157,,-0.002,,,,,
400,,0.395,,0.215,,0.229,,,,0.526,,0.267,,0.213,,,,0.061,,,,,,0.061,,0.055,,,,,
433,,0.450,,0.229,,0.367,,,,0.493,,0.294,,0.159,,,,0.121,,,,,,0.181,,0.032,,,,,
466,,0.588,,0.174,,0.492,,,,0.574,,0.334,,0.118,,,,0.073,,,,,,0.157,,0.066,,,,,
500,,0.298,,0.523,,0.284,,,,0.445,,0.294,,0.145,,,,0.037,,,,,,0.121,,0.021,,,,,
533,,0.340,,0.550,,0.367,,,,0.445,,0.321,,0.172,,,,0.361,,,,,,0.097,,0.044,,,,,
566,,0.298,,0.564,,0.270,,,,0.477,,0.294,,0.186,,,,-0.011,,,,,,0.073,,0.055,,,,,
600,,0.340,,0.496,,0.270,,,,0.510,,0.253,,0.226,,,,0.025,,,,,,0.061,,0.191,,,,,
633,,,,0.496,,0.326,,,,0.380,,0.213,,0.294,,,,0.157,,,,,,0.061,,0.032,,,,,
666,,,,0.456,,0.312,,,,0.493,,0.199,,0.186,,,,0.025,,,,,,0.121,,0.010,,,,,
700,,,,0.429,,0.353,,,,0.526,,0.213,,0.226,,,,0.121,,,,,,0.277,,0.021,,,,,
