Depth,A1,A2,A3,A4,NH4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,C1,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
33,4.197,2.705,3.686,3.309,4.793,4.262,4.141,3.593,6.060,1.369,2.102,3.271,0.344,6.524,4.045,5.425,3.074,3.165,0.923,1.624,3.448,8.026,0.183,1.613,4.421,2.397,0.346,1.609,2.185,2.569,1.544
66,0.871,0.471,0.697,0.726,1.156,0.732,0.924,0.860,2.827,0.392,0.350,0.606,0.547,0.515,0.643,0.708,6.328,7.707,3.253,4.266,4.787,6.131,0.878,3.455,5.523,4.974,3.302,5.913,6.944,3.585,3.827
100,0.407,0.477,0.506,0.384,1.225,0.764,0.298,0.448,2.485,0.350,0.261,-0.014,0.330,0.298,0.411,0.587,2.125,3.448,0.969,1.077,1.297,0.898,0.602,0.858,1.270,0.963,1.281,3.873,1.751,1.084,1.675
133,0.105,0.105,0.158,0.140,0.588,-0.095,0.130,0.152,1.022,0.010,0.082,-0.037,0.002,0.130,0.114,0.186,0.265,0.225,0.093,0.525,0.198,0.168,0.198,0.138,0.148,-0.002,0.200,0.503,0.392,0.159,0.321
166,-0.034,-0.092,-0.057,-0.057,0.395,-0.247,-0.231,-0.028,0.471,-0.091,-0.067,-0.037,-0.151,-0.119,-0.055,0.010,-0.058,0.038,-0.093,-0.113,-0.047,0.142,-0.067,-0.154,-0.129,-0.154,-0.139,0.058,-0.048,-0.068,-0.038
200,-0.028,-0.057,-0.069,-0.109,0.381,-0.295,-0.271,-0.028,0.130,-0.020,-0.103,-0.091,-0.263,0.026,0.330,-0.051,-0.063,-0.077,-0.043,-0.083,0.096,-0.026,-0.154,-0.189,-0.184,-0.225,-0.108,-0.012,-0.083,-0.134,-0.068
233,-0.092,-0.092,-0.092,-0.115,0.353,-0.319,-0.303,-0.011,0.046,-0.091,-0.055,-0.073,-0.191,0.010,0.114,-0.115,-0.118,-0.144,-0.093,0.004,-0.144,-0.139,-0.200,-0.229,-0.214,-0.174,-0.139,-0.033,-0.118,-0.139,-0.048
266,-0.092,-0.086,-0.028,-0.104,0.353,-0.311,-0.319,-0.040,0.010,-0.073,0.016,-0.020,-0.239,-0.039,-0.063,-0.127,-0.129,-0.144,-0.098,-0.144,-0.052,-0.047,-0.185,-0.224,-0.189,-0.164,-0.098,-0.098,-0.058,0.079,-0.078
300,-0.086,-0.104,-0.092,-0.080,0.450,-0.319,-0.271,-0.028,-0.014,0.094,-0.115,2.287,-0.159,0.082,-0.231,-0.144,-0.118,-0.113,-0.093,0.030,-0.144,-0.037,-0.164,-0.214,-0.209,-0.189,-0.124,-0.124,-0.093,-0.053,-0.149
333,,-0.092,,-0.104,0.367,,-0.133,,,,-0.055,,-0.271,,-0.279,,,,-0.108,,,,,,-0.179,,-0.118,,,,
366,,-0.104,,-0.098,0.298,,-0.092,,,,-0.049,,-0.071,,-0.223,,,,-0.139,,,,,,-0.154,,-0.063,,,,
400,,-0.127,,-0.121,0.215,,-0.115,,,,-0.073,,-0.207,,-0.191,,,,-0.043,,,,,,-0.159,,-0.048,,,,
433,,-0.075,,-0.098,0.229,,-0.046,,,,-0.091,,-0.119,,0.018,,,,-0.108,,,,,,-0.113,,-0.012,,,,
466,,-0.057,,-0.075,0.174,,-0.022,,,,-0.049,,-0.071,,-0.047,,,,-0.098,,,,,,-0.068,,0.043,,,,
500,,-0.051,,-0.183,0.523,,0.007,,,,-0.067,,-0.111,,-0.031,,,,-0.083,,,,,,-0.043,,0.084,,,,
533,,-0.040,,-0.143,0.550,,0.018,,,,-0.043,,0.186,,-0.014,,,,-0.078,,,,,,-0.043,,0.053,,,,
566,,-0.028,,-0.151,0.564,,0.105,,,,-0.067,,-0.127,,-0.006,,,,-0.083,,,,,,-0.018,,0.175,,,,
600,,-0.034,,-0.159,0.496,,0.059,,,,-0.031,,-0.063,,-0.006,,,,-0.088,,,,,,-0.048,,0.094,,,,
633,,,,-0.127,0.496,,0.187,,,,0.004,,0.010,,0.226,,,,0.017,,,,,,-0.093,,0.185,,,,
666,,,,-0.047,0.456,,0.169,,,,-0.008,,0.082,,0.034,,,,0.002,,,,,,-0.058,,0.139,,,,
700,,,,-0.031,0.429,,0.245,,,,0.022,,-0.079,,0.042,,,,0.007,,,,,,-0.068,,0.099,,,,
