Soil_depth_cm,d13C,C_percent,d15N,N_percent,NO3,NH4
0-30,-23.78,1.24,5.66,0.114,0.727,4.379
30-60,-24.28,0.74,5.36,0.061,5.82,1.081
60-80,-25.07,0.94,5.28,0.087,3.978,0.817
80-100,-25.8,1.65,4.11,0.174,0.717,0.469
100-105,-26.19,1.71,3.17,0.142,NA,
105-110,-26.25,1.71,3.14,0.14,,
110-115,-26.3,1.72,3.09,0.14,,
115-120,-26.29,1.5,3.52,0.119,,
120-125,-25.93,1.23,3.9,0.093,,
125-130,-26.14,1.05,4.22,0.078,,
130-135,-26.07,0.88,4.46,0.065,,
135-140,-25.91,0.73,4.78,0.054,,
140-145,-25.86,0.55,4.98,0.042,,
145-150,-25.5,0.47,5.12,0.037,,
150-160,-25.61,0.44,4.87,0.034,-0.078,0.145
160-170,-25.7,0.42,4.81,0.033,-0.098,0.121
170-180,-25.71,0.49,4.39,0.038,-0.098,0.181
180-190,-25.63,0.5,4.37,0.041,-0.083,0.181
190-200,-25.66,0.57,4.46,0.046,-0.008,0.241
200-230,-25.66,0.49,4.78,0.039,-0.093,0.133
230-260,-25.55,0.49,4.78,0.037,0.42,0.157
260-270,-25.38,0.49,4.69,0.034,-0.098,0.121
270-280,-25.4,0.46,4.41,0.033,-0.139,0.049
280-290,-25.42,0.44,4.38,0.03,-0.144,0.073
290-300,-25.35,0.43,4.35,0.03,-0.154,0.073
300-310,-25.41,0.41,4.44,0.03,-0.159,0.049
310-320,-25.29,0.38,4.31,0.028,-0.159,0.085
320-330,-25.35,0.39,4.27,0.029,-0.098,0.097
330-340,-25.43,0.35,4.35,0.027,-0.093,0.085
340-350,-25.41,0.34,4.2,0.026,-0.108,0.097
350-360,-25.44,0.32,4.42,0.026,-0.118,0.037
360-380,-25.34,0.31,4.55,0.026,-0.103,0.049
380-400,-25.33,0.3,4.42,0.026,-0.088,0.085
400-450,-25.41,0.26,4.4,0.024,-0.048,0.109
450-500,-25.46,0.22,4.64,0.022,0.093,0.289
500-550,-25.4,0.21,4.8,0.022,0.027,0.073
550-600,-25.29,0.14,4.88,0.019,0.022,0.097
600-650,-25.34,0.13,5.34,0.019,0.032,0.109
650-700,-25.02,0.11,5.26,0.019,-0.008,0.085
