Depth,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,C1,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
33,1.4542,1.2955,1.3164,1.5321,1.4170,1.3669,1.4389,1.1906,1.2492,1.2944,1.6253,1.1683,1.1665,1.3748,1.3029,1.32,0.77,1.15,1.27,1.34,1.22,1.29,1.24,1.32,1.19,1.28,1.51,1.33,1.16,1.06
66,0.7192,0.7104,0.8458,0.8208,0.7788,0.7760,0.9609,0.8327,0.7671,0.8121,0.8265,0.9281,0.8648,0.8519,0.7851,0.81,1.28,0.64,0.91,0.86,0.84,0.87,0.77,0.79,0.81,0.90,0.88,0.75,0.66,0.72
99,1.2538,1.5890,1.0854,1.1952,1.6746,1.1399,1.2707,1.7249,1.5161,1.5441,1.0006,1.4598,1.0276,1.1192,1.0332,1.21,1.32,1.31,1.40,1.09,1.42,1.39,1.39,1.28,1.72,1.23,0.85,1.23,1.78,1.27
133,1.2536,1.0210,1.5982,1.4167,1.2628,1.3201,1.4186,1.1814,1.0735,1.2197,1.3919,1.2836,1.0346,1.3950,1.2638,1.29,1.28,1.20,1.28,1.09,1.40,1.17,1.37,1.31,1.28,1.40,1.37,1.13,1.45,1.38
166,0.7446,0.6199,0.7795,0.4934,0.5071,0.7480,0.4877,0.4696,0.4880,0.6482,0.5675,0.6047,0.4293,0.6042,0.7724,0.63,0.78,0.52,0.66,0.50,1.02,1.33,0.51,0.51,0.44,0.46,0.74,0.44,0.62,0.67
199,0.6830,0.9974,0.6045,0.4744,0.5546,0.5051,0.5046,0.4025,0.5161,0.5244,0.5588,0.5105,0.4877,0.5157,0.6466,0.53,0.52,0.49,0.51,0.50,0.65,0.78,0.51,0.48,0.53,0.52,0.51,0.45,0.51,0.52
233,0.4766,0.4410,0.4265,0.3855,0.3921,0.4147,0.4366,0.4633,0.4246,0.4580,0.4562,0.4248,0.5013,0.3652,0.4387,0.40,0.43,0.38,0.39,0.40,0.41,0.51,0.45,0.40,0.41,0.42,0.41,0.41,0.43,0.44
266,0.4716,0.4399,0.4391,0.4346,0.4184,0.4549,0.4613,0.4612,0.4521,0.4401,0.4550,0.4589,0.4628,0.4294,0.4251,0.46,0.42,0.43,0.41,0.45,0.43,0.39,0.44,0.43,0.41,0.40,0.41,0.47,0.43,0.43
299,0.4167,0.4278,0.4223,0.4350,0.4497,0.4660,0.4491,0.4472,0.4446,0.4373,0.4249,0.4118,0.4528,0.4365,0.4306,0.43,0.44,0.43,0.47,0.43,0.42,0.38,0.43,0.44,0.42,0.43,0.44,0.47,0.43,0.53
333,,0.3752,,0.3826,,0.4374,,,,0.3606,,0.3410,,0.3870,,,,0.37,,,,,,0.37,,0.38,,,,
366,,0.3483,,0.3500,,0.3578,,,,0.3431,,0.3124,,0.3311,,,,0.32,,,,,,0.34,,0.35,,,,
399,,0.3192,,0.3346,,0.3383,,,,0.3023,,0.2787,,0.3102,,,,0.30,,,,,,0.30,,0.33,,,,
433,,0.2821,,0.3479,,0.2770,,,,0.2606,,0.2644,,0.2841,,,,0.27,,,,,,0.29,,0.29,,,,
466,,0.2768,,0.2812,,0.2350,,,,0.2283,,0.2248,,0.2584,,,,0.23,,,,,,0.25,,0.25,,,,
499,,0.2073,,0.2192,,0.2109,,,,0.1786,,0.1803,,0.2008,,,,0.20,,,,,,0.20,,0.22,,,,
533,,0.1963,,0.2113,,0.2073,,,,0.1832,,0.1850,,0.1768,,,,0.12,,,,,,0.17,,0.18,,,,
566,,0.1828,,0.1925,,0.1708,,,,0.1581,,0.1700,,0.1683,,,,0.11,,,,,,0.17,,0.18,,,,
599,,0.1489,,0.1703,,0.1666,,,,0.1351,,0.1574,,0.1392,,,,0.09,,,,,,0.13,,0.17,,,,
633,,,,0.1463,,0.1425,,,,0.1091,,0.1084,,0.1158,,,,0.20,,,,,,0.11,,0.13,,,,
666,,,,0.1438,,0.1188,,,,0.0929,,0.0878,,0.0947,,,,0.16,,,,,,0.09,,0.12,,,,
699,,,,0.1056,,0.0998,,,,0.0808,,0.0855,,0.0735,,,,0.15,,,,,,0.07,,0.08,,,,
