Depth,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,C1,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
33,0.1317,0.1171,0.1218,0.1363,0.1269,0.1250,0.1300,0.1111,0.1092,0.1152,0.1509,0.1057,0.1007,0.1201,0.1214,0.121,0.068,0.099,0.12,0.119,0.115,0.119,0.112,0.120,0.116,0.120,0.133,0.120,0.107,0.095
66,0.0605,0.0578,0.0678,0.0703,0.0797,0.0845,0.0764,0.0784,0.0626,0.0663,0.0640,0.0695,0.0642,0.0681,0.0682,0.067,0.120,0.052,0.07,0.069,0.070,0.065,0.061,0.063,0.070,0.070,0.074,0.062,0.056,0.078
99,0.1342,0.1720,0.1185,0.1320,0.1682,0.1396,0.1204,0.1422,0.1388,0.1586,0.0930,0.1375,0.1024,0.1015,0.0943,0.114,0.133,0.117,0.14,0.113,0.135,0.149,0.133,0.098,0.159,0.120,0.080,0.137,0.185,0.205
133,0.1112,0.0768,0.1241,0.1110,0.1053,0.1169,0.1074,0.0808,0.0826,0.0948,0.1089,0.0995,0.0828,0.1259,0.1110,0.099,0.107,0.094,0.10,0.089,0.105,0.093,0.107,0.072,0.111,0.112,0.115,0.091,0.119,0.114
166,0.0555,0.0474,0.0573,0.0387,0.0356,0.0599,0.0375,0.0362,0.0390,0.0464,0.0437,0.0459,0.0349,0.0463,0.0581,0.050,0.061,0.041,0.05,0.041,0.075,0.108,0.036,0.039,0.040,0.037,0.053,0.037,0.048,0.053
199,0.0550,0.0773,0.0480,0.0420,0.0468,0.0598,0.0395,0.0354,0.0449,0.0423,0.0447,0.0409,0.0402,0.0410,0.0495,0.044,0.044,0.041,0.04,0.044,0.052,0.061,0.039,0.039,0.048,0.043,0.041,0.042,0.044,0.043
233,0.0379,0.0366,0.0341,0.0335,0.0427,0.0445,0.0347,0.0373,0.0353,0.0373,0.0364,0.0352,0.0405,0.0315,0.0365,0.033,0.037,0.033,0.03,0.033,0.036,0.045,0.027,0.032,0.034,0.036,0.033,0.037,0.037,0.037
266,0.0372,0.0348,0.0349,0.0354,0.0318,0.0332,0.0380,0.0358,0.0354,0.0336,0.0348,0.0347,0.0368,0.0343,0.0349,0.038,0.035,0.035,0.03,0.035,0.034,0.032,0.026,0.022,0.034,0.034,0.034,0.038,0.034,0.035
299,0.0324,0.0323,0.0322,0.0326,0.0323,0.0321,0.0345,0.0341,0.0345,0.0325,0.0317,0.0307,0.0342,0.0330,0.0321,0.034,0.035,0.032,0.04,0.035,0.034,0.030,0.029,0.024,0.034,0.033,0.032,0.037,0.031,0.035
333,,0.0283,,0.0272,,0.0309,,,,0.0285,,0.0262,,0.0298,,,,0.028,,,,,,0.026,,0.031,,,,
366,,0.0276,,0.0278,,0.0377,,,,0.0283,,0.0253,,0.0257,,,,0.026,,,,,,0.025,,0.028,,,,
399,,0.0262,,0.0284,,0.0271,,,,0.0226,,0.0240,,0.0265,,,,0.027,,,,,,0.019,,0.029,,,,
433,,0.0256,,0.0285,,0.0411,,,,0.0250,,0.0229,,0.0254,,,,0.025,,,,,,0.018,,0.025,,,,
466,,0.0264,,0.0242,,0.0307,,,,0.0240,,0.0224,,0.0240,,,,0.023,,,,,,0.023,,0.024,,,,
499,,0.0223,,0.0209,,0.0230,,,,0.0210,,0.0202,,0.0224,,,,0.022,,,,,,0.016,,0.023,,,,
533,,0.0224,,0.0217,,0.0223,,,,0.0211,,0.0204,,0.0201,,,,0.019,,,,,,0.021,,0.022,,,,
566,,0.0218,,0.0207,,0.0202,,,,0.0193,,0.0197,,0.0197,,,,0.019,,,,,,0.022,,0.020,,,,
599,,0.0189,,0.0199,,0.0307,,,,0.0183,,0.0190,,0.0185,,,,0.017,,,,,,0.020,,0.021,,,,
633,,,,0.0191,,0.0195,,,,0.0172,,0.0172,,0.0169,,,,0.024,,,,,,0.018,,0.018,,,,
666,,,,0.0193,,0.0233,,,,0.0158,,0.0164,,0.0160,,,,0.021,,,,,,0.017,,0.017,,,,
699,,,,0.0316,,0.0157,,,,0.0146,,0.0137,,0.0177,,,,0.020,,,,,,0.013,,0.015,,,,
