Depth,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,C1,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
33,5.8319,5.6662,5.6347,5.4938,5.7662,5.6496,5.6477,6.0637,5.6074,5.7880,5.3586,6.0378,5.4392,5.7318,6.1012,6.02,5.78,5.58,5.70,5.84,5.88,5.95,5.97,5.82,5.84,5.88,5.77,6.31,5.80,6.12
66,4.9105,5.4282,5.4146,5.6423,5.1306,4.1783,5.6254,5.7413,5.5177,5.4616,5.2445,5.0735,5.1266,5.6113,6.0471,5.54,5.56,5.21,4.99,5.35,5.76,5.19,5.58,5.44,5.50,5.37,5.58,5.38,5.55,4.95
99,4.3307,4.4490,4.7866,4.7267,3.6296,3.9583,4.8116,3.6435,3.8895,4.1968,5.4200,4.3070,5.0721,5.1597,5.1576,4.83,4.51,4.45,4.41,4.68,3.82,3.58,4.25,4.55,3.62,4.94,5.04,4.43,3.88,4.10
133,3.9744,4.1648,3.4262,3.4801,3.7763,3.6240,3.3657,4.3392,4.0902,3.8617,3.3443,3.8508,4.1489,3.7480,3.8825,3.97,3.75,3.74,4.17,4.01,4.14,3.81,3.51,3.74,3.67,3.30,3.89,3.53,3.51,3.67
166,4.4137,4.3113,4.3603,4.5394,4.7176,4.1942,4.4757,4.9198,4.8559,4.6253,4.5316,4.5510,4.8070,4.5975,4.3459,4.33,4.03,4.54,4.63,4.04,3.98,4.12,3.96,4.59,4.59,4.43,4.45,4.15,4.05,4.47
199,4.7258,3.5868,4.3457,4.2090,4.3702,3.4183,4.4673,4.6818,4.3817,4.4286,4.2454,4.4800,4.4198,4.6263,4.2753,3.86,4.18,4.25,4.75,4.44,4.16,4.44,4.13,4.48,4.28,4.29,4.20,4.81,3.98,4.99
233,4.4960,4.5990,4.4890,4.6500,4.1421,4.2736,4.7948,4.6638,4.7633,4.7220,4.6595,4.7872,4.5576,4.8400,4.9207,4.65,4.46,4.64,4.88,4.68,4.24,5.03,4.49,4.73,4.24,4.93,4.79,4.28,4.66,4.73
266,4.4031,4.5553,4.5181,4.3797,4.8479,4.8247,4.5297,4.5986,4.6316,4.6004,4.8252,4.7271,4.8317,4.8314,4.8843,4.64,3.91,4.47,4.72,4.64,4.66,5.18,4.40,4.77,4.43,4.42,5.43,4.58,4.84,4.83
299,4.2756,4.1449,3.7860,4.1695,4.6213,4.4856,4.5504,4.5473,4.6408,4.4639,4.6351,4.4699,4.6020,4.5858,4.6316,4.40,3.87,4.24,4.94,4.74,4.61,4.70,4.46,4.44,3.87,3.85,5.36,4.76,4.71,4.61
333,,4.0921,,3.7915,,4.3420,,,,4.4133,,4.4330,,4.6392,,,,4.23,,,,,,4.38,,4.52,,,,
366,,4.1325,,3.9417,,4.0845,,,,4.4084,,4.4780,,4.4448,,,,4.32,,,,,,4.45,,4.63,,,,
399,,4.0107,,3.9814,,4.3852,,,,5.4076,,4.4915,,4.4384,,,,4.41,,,,,,3.86,,4.55,,,,
433,,4.0512,,4.3191,,3.4508,,,,4.4121,,4.2127,,4.4381,,,,4.18,,,,,,4.37,,4.19,,,,
466,,3.6390,,4.2171,,3.8927,,,,4.7160,,4.8157,,4.5580,,,,4.35,,,,,,4.61,,4.41,,,,
499,,4.0449,,4.6081,,4.5743,,,,4.8416,,4.9440,,4.8656,,,,4.64,,,,,,4.71,,4.43,,,,
533,,3.7834,,4.7669,,4.7291,,,,5.0567,,4.7893,,4.9673,,,,5.02,,,,,,4.31,,4.80,,,,
566,,4.0971,,4.9261,,5.0554,,,,4.9211,,4.6405,,4.8995,,,,5.50,,,,,,4.34,,4.74,,,,
599,,4.2779,,5.1673,,4.3262,,,,5.0280,,5.0820,,5.1179,,,,5.34,,,,,,4.51,,4.61,,,,
633,,,,5.3828,,5.0117,,,,5.1906,,5.3093,,5.3251,,,,4.74,,,,,,4.52,,4.90,,,,
666,,,,5.2022,,4.9644,,,,5.3962,,5.8920,,5.5002,,,,4.76,,,,,,4.21,,5.17,,,,
699,,,,3.3441,,5.3182,,,,5.3974,,5.4800,,5.4622,,,,4.90,,,,,,3.74,,5.48,,,,
