Date ,Time,ID,SITE,LAT,LONG,EC,pH,Turbidity,NH4,NO3,TN,PO4,TP,TSS,VSS,ChlorophyllA,PheophytinA
12/22/2015,18:00,O.D South Bot 1,Oneto-Denier South,38.292567,-121.382632,93.38,7,239.2,0.037,0.155,0.768,0.042,0.639,315.3,44.4,1.9,4.9
12/22/2015,20:00,O.D South Bot 2,Oneto-Denier South,38.292567,-121.382632,92.01,7.04,159.0,0.014,0.183,0.630,0.011,0.398,193.3,24.3,2.0,5.4
12/22/2015,22:00,O.D South Bot 3,Oneto-Denier South,38.292567,-121.382632,89.31,7.16,148.0,0.034,0.534,0.997,0.016,0.297,128.0,18.3,1.7,5.1
12/23/2015,0:00,O.D South Bot 4,Oneto-Denier South,38.292567,-121.382632,94.94,7,139.0,0.022,0.612,1.172,0.025,0.291,118.3,17.0,1.6,4.7
12/23/2015,2:00,O.D South Bot 5,Oneto-Denier South,38.292567,-121.382632,97.38,6.97,105.0,0.019,0.663,1.286,0.091,0.321,91.7,24.0,0.8,3.2
12/23/2015,4:00,O.D South Bot 6,Oneto-Denier South,38.292567,-121.382632,94.45,6.98,89.8,0.029,0.788,1.435,0.099,0.298,51.7,9.0,0.7,3.2
12/23/2015,6:00,O.D South Bot 7,Oneto-Denier South,38.292567,-121.382632,96.92,6.94,75.2,0.030,0.832,1.599,0.152,0.318,53.4,9.6,0.7,2.3
12/23/2015,8:00,O.D South Bot 8,Oneto-Denier South,38.292567,-121.382632,93.09,7.55,48.6,0.037,0.838,1.583,0.150,0.312,39.0,19.5,0.4,2.6
12/23/2015,10:00,O.D South Bot 9,Oneto-Denier South,38.292567,-121.382632,89.47,6.94,56.2,0.053,0.818,1.521,0.136,0.275,9.9,4.3,0.5,2.1
12/23/2015,12:00,O.D South Bot 10,Oneto-Denier South,38.292567,-121.382632,77.75,6.88,53.9,0.019,0.791,1.444,0.117,0.238,9.8,4.6,0.6,1.8
12/23/2015,14:00,O.D South Bot 11,Oneto-Denier South,38.292567,-121.382632,78.6,6.87,42.5,0.024,0.716,1.386,0.109,0.198,41.2,11.2,0.4,1.2
12/23/2015,16:00,O.D South Bot 12,Oneto-Denier South,38.292567,-121.382632,78.19,6.83,38.9,0.030,0.672,1.417,0.109,0.192,21.7,5.5,0.4,1.0
12/23/2015,18:00,O.D South Bot 13,Oneto-Denier South,38.292567,-121.382632,73.38,6.97,36.6,0.026,0.640,1.420,0.113,0.201,25.1,5.8,0.4,1.1
12/22/2015,18:00,O.D North Bot 2,Oneto-Denier North,38.31088,-121.375592,92.88,6.99,43.7,0.058,0.265,0.872,0.009,0.567,49.2,11.6,11.2,24.5
12/22/2015,20:00,O.D North Bot 3,Oneto-Denier North,38.31088,-121.375592,94.34,7,384.0,0.088,0.578,1.211,0.014,0.437,620.8,60.0,10.0,18.7
12/22/2015,22:00,O.D North Bot 4,Oneto-Denier North,38.31088,-121.375592,94.31,6.96,246.0,0.117,0.734,1.520,0.020,0.388,381.6,42.8,8.1,16.2
12/23/2015,0:00,O.D North Bot 5,Oneto-Denier North,38.31088,-121.375592,90.52,6.84,215.0,0.085,0.864,1.574,0.042,0.379,336.4,40.8,6.5,11.0
12/23/2015,2:00,O.D North Bot 6,Oneto-Denier North,38.31088,-121.375592,81.91,6.9,160.0,0.098,0.848,1.552,0.027,0.288,342.8,42.0,3.3,8.3
12/23/2015,4:00,O.D North Bot 7,Oneto-Denier North,38.31088,-121.375592,75.89,6.91,147.0,0.076,0.794,1.414,0.031,0.312,204.4,29.2,3.1,7.2
12/23/2015,6:00,O.D North Bot 8,Oneto-Denier North,38.31088,-121.375592,72.59,6.91,137.0,0.110,0.761,1.389,0.031,0.291,177.7,22.3,3.0,6.9
12/23/2015,8:00,O.D North Bot 9,Oneto-Denier North,38.31088,-121.375592,70.68,6.97,117.0,0.073,0.704,1.368,0.030,0.263,236.8,32.0,2.6,5.8
12/22/2015,20:00,Trange N Bot 2,Triangle North,38.276456,-121.392615,69.15,6.92,95.5,0.098,0.656,1.109,0.030,0.213,119.3,17.3,2.1,4.9
12/22/2015,22:00,Trange N Bot 3,Triangle North,38.276456,-121.392615,92.7,6.68,103.0,0.078,0.115,0.654,0.004,0.220,104.0,12.5,2.0,4.2
